Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR,is_cascading_material_failure VRBA,is_possible_seal_failure VRBA,inv_rsam_quality_acceleration VRBA,is_pressurizing VRBA,slope_ratio VRBA,num_state_changes_inv_rsam VRBA,num_state_changes_log_dsar VRBA,is_hydrothermal_seal VRBA,falling_rsam_acceleration VRBA,falling_rsam_slope VRBA,falling_rsam_mean_derivative VRBA,falling_rsam_mean_abs_derivative VRBA,quiescence_rsam_duration VRBA,quiescence_rsam_drop_ratio VRBA,is_cascading_material_failure VORI,is_possible_seal_failure VORI,inv_rsam_quality_acceleration VORI,is_pressurizing VORI,slope_ratio VORI,num_state_changes_inv_rsam VORI,num_state_changes_log_dsar VORI,is_hydrothermal_seal VORI,falling_rsam_acceleration VORI,falling_rsam_slope VORI,falling_rsam_mean_derivative VORI,falling_rsam_mean_abs_derivative VORI,quiescence_rsam_duration VORI,quiescence_rsam_drop_ratio VORI
55.41498679271514,59.93326845544279,59.93326845544279,0,0,0,1,43.31112052321801,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-153.88466956370172,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0
58.223272626164324,59.37717225079939,59.93326845544279,0,0,0,1,17.608780676472175,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-109.8008961662375,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.72473237870152,59.93326845544279,59.93326845544279,0,0,0,0,150.93476502525107,2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1057.5050990697666,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.557903517308496,59.93326845544279,0,0,0,0,-15.094400162798111,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-9.83566647295226,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,0,-0.20971597040772266,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,88.8649852186747,3,8,0,0.0,0.0,0.0,0.0,0.0,0.0
59.613513137772834,59.93326845544279,59.93326845544279,0,0,0,0,4.248053434539524,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4.085734369355035,4,5,1,1.0162739391944071e-05,-7.442370695492437,-0.0017102775648062047,0.001717909554475001,15.75,0.5522218890617401
59.93326845544279,58.37619908244126,59.93326845544279,0,0,0,1,18.419644671802434,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1220.2110861519755,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,11.657601411949747,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-37.0293414372908,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,553.223767635312,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,-136.94709343603228,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,0,-17.141112059762705,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,416.4350597657883,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0
