Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR,is_cascading_material_failure VRBA,is_possible_seal_failure VRBA,inv_rsam_quality_acceleration VRBA,is_pressurizing VRBA,slope_ratio VRBA,num_state_changes_inv_rsam VRBA,num_state_changes_log_dsar VRBA,is_hydrothermal_seal VRBA,falling_rsam_acceleration VRBA,falling_rsam_slope VRBA,falling_rsam_mean_derivative VRBA,falling_rsam_mean_abs_derivative VRBA,quiescence_rsam_duration VRBA,is_cascading_material_failure VORI,is_possible_seal_failure VORI,inv_rsam_quality_acceleration VORI,is_pressurizing VORI,slope_ratio VORI,num_state_changes_inv_rsam VORI,num_state_changes_log_dsar VORI,is_hydrothermal_seal VORI,falling_rsam_acceleration VORI,falling_rsam_slope VORI,falling_rsam_mean_derivative VORI,falling_rsam_mean_abs_derivative VORI,quiescence_rsam_duration VORI
78.20542545791793,99.97681428240203,99.97681428240203,0,0,3,1,-72.97002305440415,4,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4772.791341216678,4,2,0,0.0,0.0,0.0,0.0,0.0
99.90725712960817,99.95362856480408,99.95362856480408,0,0,3,0,-3.779630736090986,7,6,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1666.2860941567808,4,3,0,0.0,0.0,0.0,0.0,0.0
66.91398098771157,99.95362856480408,99.95362856480408,0,0,0,0,230.65489095831268,4,3,1,1.2821401638981413e-06,-0.6923190842606854,-0.00018334153647821234,0.00019265678880311802,19.066666666666666,0,0,0,0,-25.65087082753979,5,4,1,8.477841585654347e-06,-6.630422006586959,-0.0014497762216993735,0.001488354285882334,6.4
82.72664038952006,99.95362856480408,99.95362856480408,0,0,0,0,528.5440607985054,2,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,307.2490139791857,3,3,0,0.0,0.0,0.0,0.0,0.0
99.83769997681429,99.95362856480408,99.95362856480408,0,0,0,0,-338.7853787984732,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1269.143139378067,2,3,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,0,-15.026665050649699,3,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-138.39064071599336,2,6,0,0.0,0.0,0.0,0.0,0.0
83.46858335265478,99.95362856480408,99.95362856480408,0,0,3,0,116.64854193193149,6,5,1,7.475560690294533e-07,-0.4372073668166881,-0.00010844184740100814,0.00012239460311210288,21.25,0,0,0,1,-775.8327784565877,3,3,0,0.0,0.0,0.0,0.0,0.0
99.90725712960817,99.95362856480408,99.95362856480408,0,0,0,0,-203.07583216764704,3,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,36.30773825151199,3,3,0,0.0,0.0,0.0,0.0,0.0
98.63204266172038,99.95362856480408,99.95362856480408,0,0,0,0,-166.8002837134918,3,6,1,7.404279945201407e-07,-0.3371545418454672,-9.263109553505858e-05,0.00010537948591699668,23.85,0,0,0,0,-151.29430914565302,6,6,0,0.0,0.0,0.0,0.0,0.0
69.46440992348714,99.95362856480408,99.95362856480408,0,0,0,0,245.64278701789107,3,4,1,5.09275962582905e-07,-0.18021716819392702,-4.616979396596182e-05,6.759278305453613e-05,27.166666666666668,0,0,0,0,-29.931940073775454,2,2,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,81.91244271674519,3,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-19.84804838759268,2,5,0,0.0,0.0,0.0,0.0,0.0
95.71064224437747,99.95362856480408,99.95362856480408,0,0,0,0,1276.095375890112,4,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-21.46042926300408,3,5,0,0.0,0.0,0.0,0.0,0.0
61.25666589380941,99.95362856480408,99.95362856480408,0,0,0,0,215.79509879188802,3,3,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,24.752577708863686,5,4,0,0.0,0.0,0.0,0.0,0.0
32.436818919545566,99.95362856480408,99.95362856480408,0,0,0,1,53.67232706567961,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155.13883210503784,5,6,0,0.0,0.0,0.0,0.0,0.0
99.30442847206122,99.0261998608857,99.95362856480408,0,0,0,1,42.760558803968365,5,8,1,7.333135904777467e-07,-0.35073258199499285,-0.00010206644508144037,0.00011567386511962928,17.433333333333334,0,0,0,1,39.71716988955408,3,5,0,0.0,0.0,0.0,0.0,0.0
96.68444238349177,99.95362856480408,99.95362856480408,0,0,0,0,-12.887189203419103,4,4,1,2.0143574510349846e-06,-1.138318117118455,-0.00029800113680911893,0.00030289920672585104,11.1,0,0,0,0,49.632874340827335,5,3,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.32761418965917,99.95362856480408,0,0,0,1,-214.16321841266625,3,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,791.1845731140851,3,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,0,7.278028772111372,4,4,1,1.7379294880577523e-06,-1.0886657881117747,-0.000262247417275939,0.0002673861560536434,26.0,0,0,0,1,-462.1699008573594,6,5,0,0.0,0.0,0.0,0.0,0.0
