Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR,is_cascading_material_failure VRBA,is_possible_seal_failure VRBA,inv_rsam_quality_acceleration VRBA,is_pressurizing VRBA,slope_ratio VRBA,num_state_changes_inv_rsam VRBA,num_state_changes_log_dsar VRBA,is_hydrothermal_seal VRBA,falling_rsam_acceleration VRBA,falling_rsam_slope VRBA,falling_rsam_mean_derivative VRBA,falling_rsam_mean_abs_derivative VRBA,quiescence_rsam_duration VRBA,quiescence_rsam_drop_ratio VRBA,is_cascading_material_failure VORI,is_possible_seal_failure VORI,inv_rsam_quality_acceleration VORI,is_pressurizing VORI,slope_ratio VORI,num_state_changes_inv_rsam VORI,num_state_changes_log_dsar VORI,is_hydrothermal_seal VORI,falling_rsam_acceleration VORI,falling_rsam_slope VORI,falling_rsam_mean_derivative VORI,falling_rsam_mean_abs_derivative VORI,quiescence_rsam_duration VORI,quiescence_rsam_drop_ratio VORI
91.95050743778673,79.93882941748922,79.93882941748922,0,0,0,1,36.86440785339693,6,6,1,8.877621738797294e-07,-0.49731034892567705,-0.0001401394542399881,0.00014676898934645247,13.0,0.5555032071809289,0,0,0,0,-4364.615339784717,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
99.30487974419574,99.94439037953566,99.94439037953566,0,0,0,0,-150.1406304437837,7,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-3.482919771987999,5,9,0,0.0,0.0,0.0,0.0,0.0,0.0
91.50563047407202,99.94439037953566,99.94439037953566,0,0,0,0,-2.325892305335703,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-27.08585911393733,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0
19.046295009036562,99.94439037953566,99.94439037953566,0,0,0,0,4578.187082708299,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,-212.82160025902306,5,4,1,3.160412040747901e-05,-15.369782120485896,-0.005872858529849338,0.005872858529849338,16.316666666666666,0.5901574392002169
71.72250799388294,98.74878353955235,99.94439037953566,0,0,0,0,-39.76191608563873,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-18.818145683532258,8,8,1,1.4433884313761512e-05,-3.985273143829256,-0.0011971207259495898,0.0018922976897173308,20.433333333333334,0.8846894190575777
0.0,17.530932851383287,61.671069094953424,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,6.05123761429425,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0
69.1505630474072,99.94439037953566,99.94439037953566,0,0,0,1,50.16393112499332,5,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-15.94786591160262,6,9,1,1.3003076540179931e-05,-4.588950982999161,-0.0012036959752264125,0.001629277440574632,12.483333333333333,0.7037969795721313
88.61393020992632,99.91658556930348,99.94439037953566,0,0,0,1,73.68104388400883,8,7,1,3.929156424437582e-06,-0.6536047590324647,-0.00017879196343903247,0.0004005092572697075,12.383333333333333,0.5101948973326316,0,1,0,1,106.3022831855227,4,6,1,1.7762653095826033e-05,-5.124661601299034,-0.0014722038635636779,0.0020909310086992317,33.733333333333334,0.7433817201915265
99.94439037953566,99.94439037953566,99.94439037953566,0,0,0,1,102.56597917773335,8,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,18.796028327914627,5,8,0,0.0,0.0,0.0,0.0,0.0,0.0
72.52884749061587,99.88878075907131,99.94439037953566,0,0,0,0,-344.0532743952046,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-11.899508985238189,7,4,0,0.0,0.0,0.0,0.0,0.0,0.0
