Number of peaks,Avg Prominence,Max Prominence,Std Prominence,Avg h Width,Max h Width,Std h Width,Number of drops,Avg Drop Depth,Max Drop Depth,Std Drop Depth,Avg l Width,Max l Width,Std l Width
2,5.233990747761837,8.979209237488504,3.7452184897266676,1134.1139429709242,2149.448549150627,1015.334606179703,2,6.230358884120335,12.078307650277452,5.847948766157117,1247.540394224858,2410.723154478463,1163.1827602536052
3,7.50375433823923,17.000480026217588,6.736386263834682,1181.7249653496092,2758.66254742871,1120.0071654483263,3,5.965836077326678,17.888094753965404,8.430310169706484,1060.9881534849358,3173.9644604548075,1494.099930919845
2,2.7082339432574685,2.9874060623296828,0.2791721190722143,376.87687766150185,405.7537553230037,28.87687766150185,3,0.12098900820129543,0.3077441915529917,0.1331284510256081,73.33333333333333,202.0,90.98107251266912
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.411689708966762,14.650735832932718,7.239046123965956,1101.1120507416733,2197.2241014833467,1096.1120507416733,2,7.466396173838278,14.86521955018812,7.398823376349843,1398.1566582714406,2785.3133165428812,1387.1566582714406
3,0.001402007141836729,0.0019175345814197442,0.0006273871574512039,5.666666666666667,7.0,1.8856180831641267,3,0.32669838610660307,0.9465070512490605,0.43845574027112727,776.9922651988571,2045.9767955965713,901.2781863522235
2,0.010125596157209316,0.01076952168173051,0.0006439255245211939,3.0,4.0,1.0,2,3.9470213284109192,7.683112116235947,3.7360907878250273,2262.2552872563383,4186.633444376271,1924.3781571199327
3,3.636961680539661,9.438390228541941,4.102708104034066,340.620093200777,935.8602796023309,421.21503584314866,3,0.6994812534525797,1.9491458914455073,0.8840860393053103,201.76741814271614,440.825258040938,174.33750563418877
2,4.190221335214243,7.828995064052613,3.6387737288383697,1836.9946288722044,3483.989257744409,1646.9946288722044,2,1.7648364771953862,3.5226486115477798,1.7578121343523936,1015.2953797328018,2026.5907594656037,1011.2953797328018
2,2.6934140683489147,5.066879147454358,2.3734650791054435,2204.534598302309,3784.069196604618,1579.534598302309,2,20.72107103635743,37.807438297787954,17.086367261430524,2695.3148147362363,3408.054511033861,712.739696297625
3,1.5046788478007898,3.666078222019266,1.551911145619481,605.254500742319,1574.1494404583054,691.1667294589392,3,2.3709021959976084,7.053348224968957,3.31100177547788,1088.7607478713526,3242.2822436140577,1522.7716231638115
2,4.005408257431892,7.976799299805037,3.9713910423731456,609.5850616204334,1209.1701232408668,599.5850616204334,2,0.18259705902884704,0.36185544555841176,0.17925838652956472,43.0,83.0,40.0
2,0.02750007480354455,0.03262240519461557,0.005122330391071017,10.0,10.0,0.0,2,0.4843135806172718,0.6252862177069751,0.1409726370897033,639.3725165443257,1092.8612514985016,453.4887349541759
2,11.564053030330747,11.686759862614707,0.12270683228395995,3093.970883924513,4092.012949580514,998.0420656560007,2,0.8115497686971089,1.5959872382311744,0.7844374695340655,557.3846308865553,1108.7692617731107,551.3846308865553
1,9.226906075859944,9.226906075859944,0.0,1360.317729530949,1360.317729530949,0.0,1,40.052302114856566,40.052302114856566,0.0,1519.0990631725376,1519.0990631725376,0.0
3,0.15611489962308886,0.26369550763050853,0.106903384807927,8.666666666666666,12.0,3.39934634239519,3,1.3378793315111455,3.145444673005244,1.3114145231525136,813.3019583533115,2145.8652147494495,944.4708701351084
3,2.980131006008031,5.809136834193449,2.0016874214615252,798.2585019683023,2088.775505904907,912.9554947484689,3,4.83269280029858,12.866055541995618,5.718827018923283,1539.628571280379,3829.9806532856137,1649.9757680679977
2,19.14131758889961,35.87275020092849,16.731432612028883,2764.2424778040418,5254.4849556080835,2490.2424778040418,2,0.9156672563245252,1.548089339270419,0.6324220829458937,484.72426476373795,604.812900224973,120.08863546123501
3,3.306076993863693,9.781447506436692,4.578809121244286,318.11430979751236,929.3429293925371,432.2596203356108,3,20.373033121409883,60.57109183330672,28.42467773235392,1675.7642203065286,4942.292660919586,2309.9186551334774
2,0.8882079157079694,1.7526831435008319,0.8644752277928625,874.3754018227828,1708.7508036455656,834.3754018227828,2,0.8753886694985482,1.534405371419858,0.6590167019213098,1082.1451426508233,1944.2902853016467,862.1451426508233
1,0.04263251839599036,0.04263251839599036,0.0,7.0,7.0,0.0,1,4.2987284907322275e-08,4.2987284907322275e-08,0.0,803.8713760056519,803.8713760056519,0.0
2,0.3984902636381271,0.7837260735268288,0.38523580988870165,386.7624198146184,766.5248396292368,379.7624198146184,3,1.3108202607308108,3.924101978610082,1.8478695063707842,1277.8236589693477,3823.470976908043,1800.0452217460827
2,0.49751434622321966,0.8866259930160396,0.38911164679281995,266.0,391.0,125.0,2,12.3692641799672,23.111057173888085,10.741792993920885,2713.787106456677,4906.574212913354,2192.787106456677
2,8.835629960834297,17.488877916544148,8.653247955709851,595.1087461847169,1162.2174923694338,567.1087461847169,2,4.641361726574512,5.192012145327567,0.5506504187530545,1532.772989822142,1882.5459796442842,349.7729898221421
1,104.24683923504693,104.24683923504693,0.0,3469.9202271202576,3469.9202271202576,0.0,1,0.13475468826396764,0.13475468826396764,0.0,12.0,12.0,0.0
2,2.15537028071709,4.287525862538004,2.132155581820914,576.0073226429834,920.132703787041,344.12538114405766,2,2.47102930231498,4.930312686539295,2.4592833842243156,2175.0478440536785,4345.095688107357,2170.0478440536785
2,9.195115975070255,16.346801516720895,7.1516855416506395,1830.3510737828558,3177.546092805026,1347.1950190221703,2,2.7680211674560944,3.6360620533336245,0.8680408858775301,1124.0395089495664,1405.323095748572,281.28358679900566
2,1.2387794883232282,1.8734199221140742,0.634640433790846,1627.5131023925658,2755.0262047851315,1127.5131023925658,2,0.45701622330022573,0.5945740403242112,0.1375578170239855,953.8757736753735,1327.507678290025,373.6319046146516
1,1.6899807648498957,1.6899807648498957,0.0,2272.237156943958,2272.237156943958,0.0,1,0.07872695950462827,0.07872695950462827,0.0,58.0,58.0,0.0
1,6.957419577045794,6.957419577045794,0.0,1537.914828857701,1537.914828857701,0.0,1,0.39882765317270596,0.39882765317270596,0.0,448.0,448.0,0.0
2,1.8815857893929717,3.671360758246337,1.789774968853365,963.1551417366115,1867.0198016946374,903.8646599580259,2,0.7931406283765856,1.5739497820377153,0.7808091536611297,1137.0289206336167,2265.0578412672335,1128.0289206336167
2,4.3759563826261285,8.668914491680848,4.2929581090547195,2329.539747635107,4551.079495270214,2221.539747635107,2,0.0029068873330970746,0.003964438282594074,0.0010575509494969992,4.0,4.0,0.0
2,0.3147918263345364,0.6247214164671071,0.3099295901325707,152.5,302.0,149.5,2,0.3233059745359199,0.6427937311865755,0.31948775665065554,932.3744369147842,1850.7488738295683,918.3744369147842
3,1.306961284384748,3.820833723577131,1.7779292692146569,1505.2873107609282,4508.861932282784,2123.8480219148796,3,0.381751114702831,1.1129874069615617,0.5170640698952764,467.3243419134845,1325.9730257404535,607.2639029166478
1,2.8074955826149335,2.8074955826149335,0.0,424.0,424.0,0.0,1,0.5739857174082132,0.5739857174082132,0.0,581.0,581.0,0.0
1,4.547615603980837,4.547615603980837,0.0,397.68979532123603,397.68979532123603,0.0,1,1.2255726033310488,1.2255726033310488,0.0,1152.4952818507045,1152.4952818507045,0.0
1,0.1090590342158535,0.1090590342158535,0.0,40.0,40.0,0.0,1,0.7319128139688829,0.7319128139688829,0.0,834.880954732298,834.880954732298,0.0
1,1.723411063528438,1.723411063528438,0.0,657.2865764075257,657.2865764075257,0.0,1,2.4847918371221063,2.4847918371221063,0.0,665.150899373268,665.150899373268,0.0
1,0.02476530902519869,0.02476530902519869,0.0,13.0,13.0,0.0,1,0.20346568381126318,0.20346568381126318,0.0,188.0,188.0,0.0
1,1.5968208116360394,1.5968208116360394,0.0,969.6897454128757,969.6897454128757,0.0,2,0.004445892699848741,0.005249169050728142,0.0008032763508794005,6.0,6.0,0.0
1,2.889641034768836,2.889641034768836,0.0,2096.065423691516,2096.065423691516,0.0,2,0.7514600532994109,1.5023274805833609,0.75086742728395,223.2018714330672,439.4037428661344,216.2018714330672
