Number of peaks VORI DSAR,Avg Prominence VORI DSAR,Max Prominence VORI DSAR,Std Prominence VORI DSAR,Avg h Width VORI DSAR,Max h Width VORI DSAR,Std h Width VORI DSAR,Avg RSAM peak VORI DSAR,Max RSAM peak VORI DSAR,Std RSAM peak VORI DSAR,Number of drops VORI DSAR,Avg Drop Depth VORI DSAR,Max Drop Depth VORI DSAR,Std Drop Depth VORI DSAR,Avg l Width VORI DSAR,Max l Width VORI DSAR,Std l Width VORI DSAR,Avg RSAM drop VORI DSAR,Max RSAM drop VORI DSAR,Std RSAM drop VORI DSAR,Quantile Changes VORI DSAR,Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR,Slope_median RSAM VRBA,Mean Derivative_median RSAM VRBA,Mean Abs Derivative_median RSAM VRBA,Acceleration_median RSAM VRBA,Slope_median DSAR VRBA,Mean Derivative_median DSAR VRBA,Mean Abs Derivative_median DSAR VRBA,Acceleration_median DSAR VRBA,Slope_median RSAM VORI,Mean Derivative_median RSAM VORI,Mean Abs Derivative_median RSAM VORI,Acceleration_median RSAM VORI,Slope_median DSAR VORI,Mean Derivative_median DSAR VORI,Mean Abs Derivative_median DSAR VORI,Acceleration_median DSAR VORI
2,0.025365952375108858,0.04712334075197688,0.021757388376868025,72.0,128.0,56.0,3.7012292183991535,3.819469577549041,0.11824035914988751,2,0.01137832970140673,0.02229574105373011,0.01091741135232338,69.0,136.0,67.0,2.3921768248645545,2.1929287559312387,0.19924806893331581,0.3847002880807897,91.95050743778673,79.93882941748922,79.93882941748922,0.00010306828560156038,-0.10159010793716095,0.1611103611399567,0.0021586138953518957,2.281157014056792e-06,7.106153470952006e-07,0.03260098094706794,0.0004503156842156011,2.281157014056792e-06,7.106153470952006e-07,0.1611103611399567,0.0021586138953518957,3.793634487381868e-08,-1.8444265118526719e-07,0.03265519658810279,0.00045161288140045934
2,1.0566166016585614,1.6462787507526393,0.5896621490940779,2077.0917627253993,2328.6945639576406,251.6028012322413,4.810929610999814,5.185107478987096,0.37417786798728114,2,0.37386713076794864,0.7474810306540682,0.3736138998861196,1266.820959246455,2529.64191849291,1262.820959246455,2.535791425718771,2.4365836150666604,0.0992078106521106,0.5528406830158369,98.29000417072153,99.94439037953566,99.94439037953566,-0.00011870493624992159,-0.10847777852339509,0.17653703687736347,0.002350756867755903,-5.98481784375378e-05,-0.05423830137039852,0.08891288695555599,0.001184027981073549,-0.00011870493624992159,-0.0015466038614150562,0.17653703687736347,0.002350756867755903,-5.98481784375378e-05,-0.0007743037489698927,0.0890221976846478,0.001186109002274112
2,0.21770788646226324,0.39812111623792745,0.1804132297756642,1831.5496399902918,3198.0992799805836,1366.5496399902918,2.5258682652452484,2.620032300511326,0.09416403526607775,2,0.10877543352169305,0.2153597514035499,0.10658431788185685,778.4940754858319,1476.9881509716638,698.4940754858319,1.6543069133455868,1.634160855393933,0.020146057951653695,0.4297700300809439,99.30487974419574,99.94439037953566,99.94439037953566,4.057084930493856e-05,-3.481231987434123e-05,0.12740093263510655,0.00177418316375928,1.9875878941675503e-05,-1.860502835263399e-05,0.06437406657205362,0.0008961573180743342,-8.190914215875516e-07,-3.481231987434123e-05,0.12740093263510655,0.00177418316375928,5.762755857710965e-08,-1.860502835263399e-05,0.06437406657205362,0.0008961573180743342
2,0.1520318046099589,0.1580424908555611,0.0060106862456021926,1967.715035304346,2480.0027391751546,512.2877038708086,2.891851946253732,2.9054674938407157,0.013615547586983467,2,0.04427057028845782,0.08698889028935408,0.04271832000089626,453.6192951931282,894.2385903862564,440.6192951931282,2.3210401211987914,2.2307688179839804,0.09027130321481103,0.4251230714885208,91.56124009453636,99.94439037953566,99.94439037953566,-5.421854691121548e-07,0.00019031199905851411,0.05572865537537721,0.0007737758745946244,1.227775745929793e-06,3.6669151057540456e-05,0.01012401922558055,0.00014299726687729746,-5.421854691121548e-07,7.089189337074978e-06,0.01876739821964596,0.00026613759073307043,1.9702155057070413e-09,5.938208716931599e-06,0.01012401922558055,0.00014299726687729746
2,0.06269538575565825,0.1253855575454459,0.06269017178978764,203.64325790107387,405.28651580214773,201.64325790107387,4.520505667370145,4.701553466012751,0.18104779864260578,2,0.12650551531167453,0.25270706807882704,0.1262015527671525,1055.2504588211946,2108.500917642389,1053.2504588211946,3.4398139836399255,3.275287273204774,0.16452671043515155,0.4390249122106907,91.50563047407202,99.94439037953566,99.94439037953566,-4.5942774664918647e-05,-8.379476788905988e-05,0.05204651529178063,0.000732008798552353,-2.3050654902525146e-05,-4.500777326583729e-05,0.026645184483912236,0.0003742953805411643,-4.5942774664918647e-05,-8.379476788905988e-05,0.05204651529178063,0.000732008798552353,-2.322383025236655e-05,-4.500777326583729e-05,0.026715883185850376,0.0003758157643601505
2,0.27917892266193123,0.3056507772450354,0.026471854583104193,2281.5373791577717,3007.499300366884,725.9619212091125,3.88704227837112,3.917036794588336,0.02999451621721594,2,0.03499793171008725,0.06856772551189527,0.03356979380180802,227.0,452.0,225.0,2.7819713788979508,2.6252788841316383,0.15669249476631264,0.4395279237719753,89.78173223967747,99.94439037953566,99.94439037953566,1.595705599129727e-05,-0.00018947811679840727,0.05328086214599263,0.0007387700124683072,8.678848455288912e-06,-9.718560842795286e-05,0.02727795068787968,0.0003778767088752231,1.4006409192805524e-06,-0.0001703070369427664,0.05328086214599263,0.0007387700124683072,3.4589984469733465e-07,-8.760006850013242e-05,0.02727795068787968,0.00037835198489996705
2,0.4192707904784385,0.5361643204566988,0.1168935299782603,2260.099979109422,2949.723284698372,689.6233055889504,3.9627122017923684,4.068376641430833,0.10566443963846428,2,0.5308207302340489,1.0601146008468998,0.5292938706128509,1878.3311474352986,3753.662294870597,1875.3311474352986,3.0711293686610492,2.7969331613070043,0.27419620735404515,0.4655947960609215,88.29417489225636,99.94439037953566,99.94439037953566,8.612650210947757e-05,3.054851344980601e-05,0.08561599425507686,0.001154326386356437,4.364336799450377e-05,1.0647902552532747e-05,0.043482756637086575,0.0005860670846148385,8.612650210947757e-05,3.054851344980601e-05,0.08561599425507686,0.001154326386356437,4.364336799450377e-05,1.5467994502918676e-05,0.043482756637086575,0.0005860670846148385
2,0.6442328190260569,0.9631907423460175,0.31895792331996065,1964.7034260955231,2539.284767517344,574.5813414218208,3.9528112265274054,4.068376641430833,0.11556541490342731,2,0.6495035333816128,0.7320599125391629,0.0825563791575501,2801.6760515971864,3722.4493439843322,920.7732923871461,2.9510595301959097,2.7969331613070043,0.1541263688889054,0.4448650304343549,85.66662032531627,99.94439037953566,99.94439037953566,0.0001092782079881472,-0.0010992653669791605,0.16139840444935818,0.002085079250636664,5.416146705117988e-05,-0.0005577438750733458,0.08145830581876956,0.0010526121484641816,0.0001092782079881472,-0.0002716604720711346,0.16139840444935818,0.002085079250636664,5.473754126775209e-05,-0.00014394142761933282,0.08145830581876956,0.0010526121484641816
2,0.0032461563729557774,0.003481973871023669,0.00023581749806789176,4.0,6.0,2.0,4.276556393849932,4.394284929339999,0.11772853549006657,2,0.5276704725807435,0.9755881429999587,0.44791767041921515,3626.694129171958,6763.388258343916,3136.694129171958,3.2372402812936625,3.1991483116187798,0.03809196967488271,0.431528719461002,19.046295009036562,99.94439037953566,99.94439037953566,-2.3605932766113503e-07,0.00032242324542036834,0.1093234664974443,0.0015558208949592988,-3.2471944764930027e-06,0.00016449325036133617,0.055443895908384444,0.0007886304001936889,-2.3605932766113503e-07,6.563255302304021e-06,0.1093234664974443,0.0015558208949592988,-7.690842926337808e-08,3.25967671972065e-06,0.055443895908384444,0.0007886304001936889
2,0.470078532947674,0.8540071929429347,0.3839286599952607,2161.817961538224,4014.5663807056976,1852.7484191674737,4.079899837466458,4.102819984372397,0.022920146905938577,2,0.3374681294088151,0.6733966152924813,0.3359284858836662,2609.054332294568,5216.108664589136,2607.054332294568,3.2272405451002175,3.1991483116187798,0.028092233481437745,0.45511680108842056,23.66189350757681,99.94439037953566,99.94439037953566,2.461456396303918e-05,0.0005624670390865887,0.15507187855398585,0.002201017262412754,1.2586306698372288e-05,0.0002627968029942904,0.07829600409234752,0.001110729919326066,2.461456396303918e-05,-3.687343309800785e-05,0.15507187855398585,0.002201017262412754,1.2586306698372288e-05,-1.9500815428794098e-05,0.07829600409234752,0.001110729919326066
