Number of peaks,Avg Prominence,Max Prominence,Std Prominence,Avg h Width,Max h Width,Std h Width,Avg RSAM peak,Max RSAM peak,Std RSAM peak,Number of drops,Avg Drop Depth,Max Drop Depth,Std Drop Depth,Avg l Width,Max l Width,Std l Width,Avg RSAM drop,Max RSAM drop,Std RSAM drop,Quantile Changes
1,0.09362757698359303,0.09362757698359303,0.0,2.0,2.0,0.0,103.25882474163232,103.25882474163232,0.0,1,17.39259670776316,17.39259670776316,0.0,2274.193614752766,2274.193614752766,0.0,61.04085981817657,61.04085981817657,0.0,0.0563616670910178
2,12.424325576056667,19.469542958994012,7.045217382937345,2598.849075860138,3826.4797534809695,1227.6306776208316,61.19489262846781,62.69398763683577,1.4990950083679593,2,2.1198232348598154,4.105822018497719,1.9859987836379034,1009.4388949191164,1860.8777898382327,851.4388949191164,41.81962773996468,40.59569029547448,1.223937444490197,0.08376124821993965
2,0.14321174211502097,0.23433691082156827,0.0911251687065473,29.0,52.0,23.0,58.51494733725956,63.46818467080417,4.953237333544617,2,0.007030673760493045,0.007104515016642665,7.384125614962045e-05,14.0,26.0,12.0,34.096840773996874,30.737636731900434,3.3592040420964384,0.029668140428507853
1,1.178016982810906,1.178016982810906,0.0,144.0,144.0,0.0,30.45610567060054,30.45610567060054,0.0,1,2.2764988917483002,2.2764988917483002,0.0,838.0,838.0,0.0,28.17400933608458,28.17400933608458,0.0,0.33406995932964567
1,0.04480170176594811,0.04480170176594811,0.0,18.0,18.0,0.0,25.570649001868755,25.570649001868755,0.0,1,0.01266904688632664,0.01266904688632664,0.0,6.0,6.0,0.0,22.86584278503391,22.86584278503391,0.0,0.05889640888533581
2,1.754198994702449,3.016842367604056,1.262643372901607,6.6616278686753105,11.323255737350621,4.6616278686753105,366.86775836159586,402.46674056016445,35.59898219856859,2,1.0073764551662503,1.1462013156744248,0.13882486050817455,1708.7571459874157,2382.2520470602485,673.4949010728329,24.485289075590558,24.363784435838568,0.12150463975198811,0.2293860921063704
1,0.7293701669381996,0.7293701669381996,0.0,754.444181029917,754.444181029917,0.0,28.53349511949186,28.53349511949186,0.0,1,0.5214174396363696,0.5214174396363696,0.0,102.0,102.0,0.0,27.689018388978877,27.689018388978877,0.0,0.17076276370091747
2,7.161300981795073,14.285490771008064,7.124189789212991,1434.2258998827579,2860.4517997655157,1426.2258998827579,51.609001858618726,57.260947785644504,5.651945927025782,2,4.598547344138435,5.369953220186865,0.7714058760484299,1857.0926789064342,2865.758271242474,1008.66559233604,37.60004932466741,37.58552244661382,0.014526878053590764,0.17890885098560994
2,5.930486055307661,11.828904958592354,5.898418903284693,1873.3907844525481,3736.7815689050963,1863.3907844525481,42.91254716602701,46.705616257263834,3.7930690912368235,2,2.6429288452321273,5.272376878203101,2.6294480329709735,1149.5581614721432,2280.1163229442864,1130.5581614721432,28.61481643483534,28.457426034433926,0.1573904004014146,0.20602452518543654
2,9.69845078786091,19.322199660418313,9.623748872557403,1940.0423992120202,3874.0847984240404,1934.0423992120202,71.90788909704749,90.18203467581627,18.27414557876878,2,1.3187681647333562,1.4434540676669982,0.12468590293364201,322.0,518.0,196.0,32.56522980421089,30.818915750561388,1.7463140536495025,0.8625204934328405
1,59.498803152008094,59.498803152008094,0.0,2612.001352193828,2612.001352193828,0.0,149.67158108064712,149.67158108064712,0.0,1,0.00040919176981191185,0.00040919176981191185,0.0,4.0,4.0,0.0,24.08350614160782,24.08350614160782,0.0,0.0667817190913875
2,9.38668186757496,18.42438028098688,9.03769841341192,2349.2741488002025,4670.548297600405,2321.2741488002025,59.96613462449213,65.01215231355778,5.046017689065653,2,7.235864146181839,14.358711215899788,7.122847069717949,1300.5808004101466,2589.161600820293,1288.5808004101466,43.98196674144756,40.56140571952668,3.420561021920875,0.11752229663115997
2,7.611179175143864,15.14112749743169,7.529948322287826,2341.06141548776,4658.12283097552,2317.06141548776,45.29597370419157,50.16192994442366,4.865956240232094,2,1.5013514736556672,2.9876273105597306,1.4862758369040634,985.3886408230551,1924.7772816461102,939.3886408230551,34.30256513873896,33.76025878112655,0.5423063576124107,0.03973617522256274
2,2.5117412865938427,5.015665115803827,2.5039238292099846,1727.095386112574,3448.190772225148,1721.095386112574,48.27836078829583,49.03996442592411,0.7616036376282835,2,1.8195800983617119,3.1653691625297142,1.3457890641680024,1128.024564323828,1830.0491286476558,702.0245643238279,28.586243088580154,27.559866689054836,1.0263763995253186,0.029003816802942485
2,23.500446827061438,46.94726315559339,23.446816328531952,1820.336667743226,3638.673335486452,1818.336667743226,138.24145125519394,157.86265155887082,19.621200303676886,2,11.09093267302179,14.530446383151727,3.439513710129937,1302.143496290973,1500.1390517480145,197.99555545704163,85.51974559165542,79.91757596210824,5.602169629547177,0.048602361568619926
2,2.332037854767666,4.6615061576047125,2.3294683028370464,1711.7651620591032,3421.5303241182064,1709.7651620591032,34.62594802746274,35.64649539987773,1.0205473724149918,2,0.39389230438668754,0.7553433888693526,0.36145108448266505,531.2327939374226,1018.4655878748451,487.23279393742257,27.345698306194095,27.180194519619413,0.165503786574682,0.0789211101082075
2,2.2431947701484383,3.307256021264891,1.0640612511164527,624.573595814541,925.147191629082,300.573595814541,41.808915327141555,41.87659443012642,0.06767910298486157,1,0.001213072513465363,0.001213072513465363,0.0,2.0,2.0,0.0,26.553402404595822,26.553402404595822,0.0,0.024953909926188726
2,0.564014981676582,1.1177089236348756,0.5536939419582936,776.3466061660582,1538.6932123321164,762.3466061660582,23.781571880609278,24.100545088673787,0.3189732080645111,1,1.8423315525113004,1.8423315525113004,0.0,3466.3702802154503,3466.3702802154503,0.0,21.620267120033464,21.620267120033464,0.0,0.04267171023772361
2,3.3691719480022613,6.3809647319082075,3.011792783905946,1818.1544227399843,3346.1071567266235,1527.9527339866393,33.97146514085854,35.218351489463686,1.2468863486051447,2,0.17847830864978675,0.3512593056308262,0.17278099698103944,358.5,715.0,356.5,27.092462467487763,26.947485636307903,0.1449768311798607,0.031006936070504226
1,0.8357834398974724,0.8357834398974724,0.0,116.0,116.0,0.0,25.988395697571406,25.988395697571406,0.0,1,3.12268108362926,3.12268108362926,0.0,2963.549647119274,2963.549647119274,0.0,22.322995738749732,22.322995738749732,0.0,0.13418864431925254
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10986868556846918
1,3.9980100879176277,3.9980100879176277,0.0,428.4581324881224,428.4581324881224,0.0,57.50087973668817,57.50087973668817,0.0,1,4.927115462658463,4.927115462658463,0.0,966.3655152924497,966.3655152924497,0.0,33.49526116204817,33.49526116204817,0.0,0.05217878113130686
1,4.111602370049013,4.111602370049013,0.0,536.0,536.0,0.0,77.09340807087462,77.09340807087462,0.0,1,6.10484322646332,6.10484322646332,0.0,1763.0500499232649,1763.0500499232649,0.0,26.447696088149943,26.447696088149943,0.0,0.04289577889632939
1,0.822341031921983,0.822341031921983,0.0,403.7445545723881,403.7445545723881,0.0,30.666176277141485,30.666176277141485,0.0,1,3.29103647239387,3.29103647239387,0.0,3097.770970969005,3097.770970969005,0.0,23.757678032873038,23.757678032873038,0.0,0.054809794776016545
1,0.09514135087539444,0.09514135087539444,0.0,2.0,2.0,0.0,58.116437727163245,58.116437727163245,0.0,1,0.07154074191407744,0.07154074191407744,0.0,62.0,62.0,0.0,25.439647809209887,25.439647809209887,0.0,0.04329721428479442
1,6.389292619572245,6.389292619572245,0.0,964.478168724424,964.478168724424,0.0,44.08708924599203,44.08708924599203,0.0,1,5.853475562577955,5.853475562577955,0.0,3469.668477577323,3469.668477577323,0.0,33.70255237624498,33.70255237624498,0.0,0.03692822235243093
2,0.03170366943462,0.05870115946850518,0.026997490033885185,16.5,27.0,10.5,47.95541772919984,62.36935233201881,14.413934602818976,2,1.2496573545303171,2.4873755012699306,1.2377181467396134,1779.208590534853,3556.417181069706,1777.208590534853,28.5363956571317,27.124482795530277,1.4119128616014223,0.03861234372586797
1,0.7448625844045722,0.7448625844045722,0.0,480.0,480.0,0.0,47.124268919135424,47.124268919135424,0.0,2,0.7365207814512136,1.1383302651213114,0.40180948367009783,1950.910328683254,2930.334032542655,979.4237038594013,21.390464805399247,21.262375103190884,0.12808970220836358,0.030801975280596552
2,10.858743072974498,14.200140263803533,3.341397190829035,458.64604597988273,546.9077797255659,88.26173374568319,93.99669117149989,97.52115621794326,3.5244650464433747,2,0.7540918508640964,1.5034335207577598,0.7493416698936635,464.5,927.0,462.5,33.1781869515225,32.26583095990379,0.9123559916187105,0.22047421292959565
1,4.789050523546663,4.789050523546663,0.0,115.87324828192806,115.87324828192806,0.0,66.4926837175696,66.4926837175696,0.0,1,13.929351522048641,13.929351522048641,0.0,2733.388082720598,2733.388082720598,0.0,38.46028946650836,38.46028946650836,0.0,0.11193147484994362
1,13.596011741892497,13.596011741892497,0.0,1379.9044246731924,1379.9044246731924,0.0,81.0201784325622,81.0201784325622,0.0,1,2.6630808802201997,2.6630808802201997,0.0,1551.926532534052,1551.926532534052,0.0,36.61799211303485,36.61799211303485,0.0,0.05962778146761495
2,0.23741376047091123,0.4623544318553954,0.22494067138448415,126.0,246.0,120.0,57.05131615130152,67.03875858408063,9.987442432779108,2,9.987972131035676,19.96672405476893,9.978751923733256,2653.5969683229578,5305.1939366459155,2651.5969683229578,30.11999970697724,27.097149663753477,3.0228500432237624,0.0482288376370707
2,56.21968332012963,112.43855433179058,56.21887101166095,1870.5667311589987,3740.1228952407937,1869.556164081795,188.07775605035738,206.1491195307501,18.071363480392748,2,9.0977868200563,17.998135062642717,8.900348242586418,1301.4011321492724,2594.8022642985447,1293.4011321492724,81.2398631605642,76.46985382602116,4.770009334543026,0.10768318714037553
1,0.22347523336697606,0.22347523336697606,0.0,148.0,148.0,0.0,33.28489374021066,33.28489374021066,0.0,1,0.026392844502652224,0.026392844502652224,0.0,16.0,16.0,0.0,32.08752409888538,32.08752409888538,0.0,0.05827133050238463
1,2.853218227372281,2.853218227372281,0.0,3.2807697854013895,3.2807697854013895,0.0,70.21707250834658,70.21707250834658,0.0,1,0.25256390459530564,0.25256390459530564,0.0,66.0,66.0,0.0,26.618697758300474,26.618697758300474,0.0,0.06262695719635587
1,192.3419383739138,192.3419383739138,0.0,2410.493155929499,2410.493155929499,0.0,322.163433551427,322.163433551427,0.0,1,104.42156925018651,104.42156925018651,0.0,2024.1931147467126,2024.1931147467126,0.0,129.82149517751319,129.82149517751319,0.0,0.18278452607833173
1,0.14197535922471616,0.14197535922471616,0.0,4.0,4.0,0.0,593.0204714097586,593.0204714097586,0.0,1,83.69111598572152,83.69111598572152,0.0,2813.7353959907573,2813.7353959907573,0.0,126.57933681658892,126.57933681658892,0.0,0.3400913094876208
1,89.08653925055393,89.08653925055393,0.0,1325.2804977914996,1325.2804977914996,0.0,155.0434618843408,155.0434618843408,0.0,1,40.264170040609514,40.264170040609514,0.0,2760.149037691029,2760.149037691029,0.0,28.337483551813254,28.337483551813254,0.0,0.2311127359025953
1,0.14914396846064548,0.14914396846064548,0.0,104.0,104.0,0.0,29.176956807142364,29.176956807142364,0.0,1,0.7109781263675146,0.7109781263675146,0.0,214.0,214.0,0.0,25.828036697076296,25.828036697076296,0.0,0.14179554845666087
1,7.756407510616228,7.756407510616228,0.0,1966.9250511307227,1966.9250511307227,0.0,38.919863530355144,38.919863530355144,0.0,1,3.8161534097214513,3.8161534097214513,0.0,966.0869754227492,966.0869754227492,0.0,27.876190920800774,27.876190920800774,0.0,1.7567144530108079
1,2.344830786164664,2.344830786164664,0.0,310.0,310.0,0.0,166.63022941719413,166.63022941719413,0.0,1,1.0227720067523762,1.0227720067523762,0.0,98.0,98.0,0.0,70.79544302329634,70.79544302329634,0.0,0.06856586750909623
