Sum_VT,Last_VT,Max_VT,Delta_Max_Min_VT,is_swarm_detected_VT,Sum_LP,Last_LP,Max_LP,Delta_Max_Min_LP,is_swarm_detected_LP,Sum_tornillo,Last_tornillo,Max_tornillo,Delta_Max_Min_tornillo,is_swarm_detected_tornillo,Sum_Precipitations,Last_Precipitations,Max_Precipitations,Delta_Max_Min_Precipitations
0.0,0.0,0.0,0.0,0,23.0,3.0,16.0,13.0,0,0.0,0.0,0.0,0.0,0,47.5587,20.3823,20.3823,6.7941
0.0,0.0,0.0,0.0,0,22.0,4.0,11.0,7.0,0,0.0,0.0,0.0,0.0,0,36.2236,36.2236,36.2236,36.2236
0.0,0.0,0.0,0.0,0,22.0,6.0,8.0,2.0,0,2.0,2.0,2.0,2.0,1,96.01859999999999,29.8975,36.2236,6.326099999999997
0.0,0.0,0.0,0.0,0,16.0,8.0,8.0,5.0,0,0.0,0.0,0.0,0.0,0,91.2525,16.5089,59.7949,44.846199999999996
0.0,0.0,0.0,0.0,0,13.0,6.0,6.0,4.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1,12.0,2.0,5.0,3.0,0,0.0,0.0,0.0,0.0,0,38.2317,0.0,38.2317,38.2317
0.0,0.0,0.0,0.0,0,6.0,2.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0,10.9228,7.2819,7.2819,7.2819
0.0,0.0,0.0,0.0,0,13.0,11.0,11.0,11.0,1,0.0,0.0,0.0,0.0,0,1.3903,1.3903,1.3903,1.3903
0.0,0.0,0.0,0.0,0,23.0,5.0,11.0,6.0,0,0.0,0.0,0.0,0.0,0,5.634399999999999,3.1723,3.1723,2.6043
0.0,0.0,0.0,0.0,0,6.0,1.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0,8.7312,0.0,8.7312,8.7312
1.0,0.0,1.0,1.0,0,16.0,8.0,8.0,6.0,0,6.0,4.0,4.0,4.0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,6.0,2.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,8.0,0.0,4.0,4.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
